"timestamp,pressure_in_kPa,pressure_out_kPa,temperature_in_C,temperature_out_C,valve_opening_percent,energy_kWh,energy_cost_USD"
"2025-01-08 11:00:00,386.5,358.2,11.43,18.72,100.0,10.541,1.265"
"2025-01-08 12:00:00,402.0,369.0,11.08,20.55,95.4,13.226,1.587"
"2025-01-08 13:00:00,405.7,367.7,13.28,20.47,98.3,9.717,1.166"
"2025-01-08 14:00:00,396.9,358.4,11.58,19.83,96.2,10.738,1.289"
"2025-01-08 15:00:00,404.3,375.8,10.59,18.43,83.1,8.967,1.076"
"2025-01-08 16:00:00,403.0,383.1,10.31,17.51,80.2,6.813,0.818"
"2025-01-08 17:00:00,394.9,367.0,10.17,16.08,48.6,4.65,0.558"
"2025-01-08 18:00:00,402.1,379.1,8.75,13.33,39.3,2.628,0.315"
"2025-01-08 19:00:00,399.1,382.2,9.34,13.71,25.3,1.459,0.175"
"2025-01-08 20:00:00,399.7,387.0,8.62,12.55,7.8,0.751,0.09"
"2025-01-08 21:00:00,399.3,380.8,6.82,8.82,11.2,0.481,0.058"
"2025-01-08 22:00:00,400.0,383.8,7.83,11.14,7.8,1.012,0.121"
"2025-01-08 23:00:00,396.2,383.4,8.17,10.8,20.7,0.664,0.08"
"2025-01-09 00:00:00,406.6,390.0,8.66,11.35,9.3,0.618,0.074"
"2025-01-09 01:00:00,397.8,383.3,7.03,10.76,4.7,0.924,0.111"
"2025-01-09 02:00:00,403.9,390.8,7.47,10.99,3.5,0.855,0.103"
"2025-01-09 03:00:00,407.1,393.9,7.28,9.54,6.6,0.363,0.044"
"2025-01-09 04:00:00,396.5,377.0,9.36,11.87,7.6,0.683,0.082"
"2025-01-09 05:00:00,395.8,377.7,7.96,10.84,24.6,0.912,0.109"
"2025-01-09 06:00:00,397.5,377.3,9.9,14.55,39.7,2.568,0.308"
"2025-01-09 07:00:00,395.8,365.7,10.02,16.78,59.4,5.35,0.642"
"2025-01-09 08:00:00,398.4,371.5,9.95,16.14,64.9,6.353,0.762"
"2025-01-09 09:00:00,401.1,368.3,11.91,18.21,74.7,7.433,0.892"
"2025-01-09 10:00:00,399.5,364.9,10.9,18.86,92.5,11.005,1.321"
"2025-01-09 11:00:00,391.3,359.3,11.53,19.41,96.0,10.74,1.289"
"2025-01-09 12:00:00,398.1,364.2,11.68,20.62,99.5,12.403,1.488"
"2025-01-09 13:00:00,395.1,363.6,11.85,19.94,93.9,11.002,1.32"
"2025-01-09 14:00:00,395.2,364.6,12.84,20.6,93.9,9.755,1.171"
"2025-01-09 15:00:00,398.8,363.0,12.13,20.08,77.7,10.098,1.212"
"2025-01-09 16:00:00,397.6,364.7,10.27,15.98,73.4,5.51,0.661"
"2025-01-09 17:00:00,403.0,379.7,7.87,12.35,64.8,3.646,0.437"
"2025-01-09 18:00:00,411.8,390.0,10.14,13.85,30.5,1.916,0.23"
"2025-01-09 19:00:00,399.5,378.2,7.98,11.16,27.2,1.211,0.145"
"2025-01-09 20:00:00,409.0,393.2,9.05,12.57,8.6,1.336,0.16"
"2025-01-09 21:00:00,391.6,372.3,8.53,11.81,6.3,0.512,0.061"
"2025-01-09 22:00:00,393.6,378.9,7.77,9.89,3.4,0.704,0.085"
"2025-01-09 23:00:00,393.0,375.1,7.62,9.62,4.6,0.653,0.078"
"2025-01-10 00:00:00,406.0,394.2,7.91,11.16,15.8,0.775,0.093"
"2025-01-10 01:00:00,398.1,389.5,8.7,12.2,14.6,0.68,0.082"
"2025-01-10 02:00:00,403.5,391.3,6.52,9.07,9.8,0.403,0.048"
"2025-01-10 03:00:00,401.7,386.9,7.72,9.87,15.3,0.6,0.072"
"2025-01-10 04:00:00,397.2,385.9,9.07,12.66,11.7,0.757,0.091"
"2025-01-10 05:00:00,400.5,386.1,7.51,10.21,18.8,0.955,0.115"
"2025-01-10 06:00:00,400.1,381.9,7.28,10.97,39.1,1.856,0.223"
"2025-01-10 07:00:00,400.8,377.3,9.3,14.77,46.9,4.856,0.583"
"2025-01-10 08:00:00,404.2,374.4,10.83,16.8,68.5,6.289,0.755"
"2025-01-10 09:00:00,398.5,364.6,10.6,17.2,83.7,7.558,0.907"
"2025-01-10 10:00:00,409.7,380.7,11.81,20.62,85.7,10.858,1.303"
"2025-01-10 11:00:00,394.8,361.2,12.91,20.78,100.0,10.597,1.272"
"2025-01-10 12:00:00,394.4,357.5,10.9,18.61,100.0,10.781,1.294"
"2025-01-10 13:00:00,402.5,368.8,12.26,19.29,97.5,9.711,1.165"
"2025-01-10 14:00:00,404.9,371.2,10.9,18.42,95.5,10.211,1.225"
"2025-01-10 15:00:00,398.5,369.9,11.22,19.2,87.7,9.308,1.117"
"2025-01-10 16:00:00,394.2,365.5,10.26,15.95,62.3,5.48,0.658"
"2025-01-10 17:00:00,401.6,378.4,11.22,16.59,50.9,4.574,0.549"
"2025-01-10 18:00:00,396.7,382.1,9.63,14.87,28.8,2.861,0.343"
"2025-01-10 19:00:00,397.6,380.1,9.37,11.88,28.4,0.76,0.091"
"2025-01-10 20:00:00,406.3,392.9,8.29,11.11,18.0,0.489,0.059"
"2025-01-10 21:00:00,397.9,383.1,8.44,11.21,8.6,0.649,0.078"
"2025-01-10 22:00:00,399.5,388.2,9.35,13.19,3.2,0.939,0.113"
"2025-01-10 23:00:00,392.3,374.8,6.88,9.88,9.8,0.62,0.074"
"2025-01-11 00:00:00,399.2,380.5,7.44,10.56,11.1,1.083,0.13"
"2025-01-11 01:00:00,391.3,376.8,7.12,11.16,8.2,0.999,0.12"
"2025-01-11 02:00:00,404.1,387.1,8.82,11.39,14.5,0.516,0.062"
"2025-01-11 03:00:00,407.9,391.9,8.15,11.84,0.2,0.843,0.101"
"2025-01-11 04:00:00,406.6,392.6,7.89,10.89,2.1,0.688,0.083"
"2025-01-11 05:00:00,412.1,399.0,10.44,13.25,17.9,1.087,0.13"
"2025-01-11 06:00:00,394.8,372.2,9.87,14.25,40.3,2.281,0.274"
"2025-01-11 07:00:00,402.2,383.9,11.61,17.04,55.1,4.117,0.494"
"2025-01-11 08:00:00,404.9,371.2,10.89,17.78,74.3,6.986,0.838"
"2025-01-11 09:00:00,397.1,369.1,11.95,18.49,84.7,7.495,0.899"
"2025-01-11 10:00:00,403.6,366.0,11.47,19.64,92.3,11.791,1.415"
"2025-01-11 11:00:00,400.6,368.2,10.77,19.06,95.8,10.529,1.264"
"2025-01-11 12:00:00,407.6,372.5,10.94,17.72,91.2,9.522,1.143"
"2025-01-11 13:00:00,394.2,358.5,11.83,19.24,98.2,9.414,1.13"
"2025-01-11 14:00:00,403.3,367.9,11.9,18.78,93.0,8.701,1.044"
"2025-01-11 15:00:00,393.4,364.9,9.82,17.15,88.5,7.962,0.955"
"2025-01-11 16:00:00,401.2,373.6,9.43,15.95,66.3,5.69,0.683"
"2025-01-11 17:00:00,409.1,385.6,10.26,16.07,57.6,4.326,0.519"
"2025-01-11 18:00:00,398.0,374.0,7.93,11.41,37.2,2.317,0.278"
"2025-01-11 19:00:00,400.5,380.0,8.15,12.62,20.2,1.131,0.136"
"2025-01-11 20:00:00,400.6,387.9,8.66,11.8,16.7,0.733,0.088"
"2025-01-11 21:00:00,395.0,382.0,8.36,11.3,11.1,0.744,0.089"
"2025-01-11 22:00:00,404.6,385.6,7.99,10.23,9.7,0.604,0.073"
"2025-01-11 23:00:00,393.3,380.5,7.61,12.34,9.4,1.242,0.149"
"2025-01-12 00:00:00,394.1,376.3,8.3,10.74,16.1,0.485,0.058"
"2025-01-12 01:00:00,392.2,375.6,8.9,11.71,14.9,0.457,0.055"
"2025-01-12 02:00:00,399.0,384.2,7.76,10.03,10.3,0.603,0.072"
"2025-01-12 03:00:00,400.0,383.6,9.03,11.99,18.9,0.521,0.062"
"2025-01-12 04:00:00,398.7,382.9,9.07,11.07,4.5,0.404,0.048"
"2025-01-12 05:00:00,406.2,385.2,8.54,12.36,16.2,1.513,0.182"
"2025-01-12 06:00:00,400.8,380.3,8.9,13.59,47.3,3.317,0.398"
"2025-01-12 07:00:00,396.1,373.3,10.04,15.71,50.7,4.144,0.497"
"2025-01-12 08:00:00,407.0,377.9,11.46,17.56,66.5,5.868,0.704"
"2025-01-12 09:00:00,405.1,373.5,12.18,20.15,85.3,9.032,1.084"
"2025-01-12 10:00:00,398.2,363.7,11.52,19.92,89.1,10.564,1.268"
"2025-01-12 11:00:00,401.3,372.9,13.03,21.47,93.9,10.635,1.276"
"2025-01-12 12:00:00,406.0,370.9,11.36,19.53,97.5,11.241,1.349"
"2025-01-12 13:00:00,397.1,358.9,12.03,20.06,95.7,10.873,1.305"
"2025-01-12 14:00:00,406.5,372.2,11.43,19.37,91.9,9.905,1.189"
"2025-01-12 15:00:00,395.5,365.9,10.41,18.42,77.7,9.418,1.13"
"2025-01-12 16:00:00,402.2,376.4,10.32,17.85,69.2,7.541,0.905"
"2025-01-12 17:00:00,403.1,376.7,12.11,18.46,60.7,5.266,0.632"
"2025-01-12 18:00:00,398.5,372.4,8.67,13.18,30.4,2.329,0.28"
"2025-01-12 19:00:00,402.9,386.4,8.23,11.94,8.4,1.223,0.147"
"2025-01-12 20:00:00,402.8,390.0,8.75,12.18,22.2,0.62,0.074"
"2025-01-12 21:00:00,407.0,388.4,7.64,10.14,12.6,0.756,0.091"
"2025-01-12 22:00:00,395.6,379.1,7.87,10.18,12.0,0.569,0.068"
"2025-01-12 23:00:00,400.9,387.7,7.96,12.25,5.2,1.371,0.164"
"2025-01-13 00:00:00,398.3,382.8,8.97,11.08,4.6,0.299,0.036"
"2025-01-13 01:00:00,402.6,392.1,8.72,10.72,10.8,0.57,0.068"
"2025-01-13 02:00:00,399.6,384.7,7.23,9.43,8.5,0.335,0.04"
"2025-01-13 03:00:00,409.0,394.5,8.79,11.75,11.5,0.941,0.113"
"2025-01-13 04:00:00,406.1,386.1,6.72,9.76,12.6,1.075,0.129"
"2025-01-13 05:00:00,401.2,379.1,8.84,12.04,23.1,1.383,0.166"
"2025-01-13 06:00:00,401.5,372.7,8.99,12.75,41.5,1.804,0.216"
"2025-01-13 07:00:00,404.5,381.4,10.44,16.09,50.0,4.111,0.493"
"2025-01-13 08:00:00,405.4,381.1,10.41,15.8,72.3,6.088,0.731"
"2025-01-13 09:00:00,400.6,375.3,12.36,19.17,85.0,7.72,0.926"
"2025-01-13 10:00:00,395.1,360.2,11.03,19.67,96.2,10.55,1.266"
"2025-01-13 11:00:00,410.9,372.6,12.14,19.3,100.0,10.052,1.206"
"2025-01-13 12:00:00,391.3,354.7,12.56,18.7,93.2,8.696,1.044"
"2025-01-13 13:00:00,397.2,359.1,12.28,19.41,92.1,9.457,1.135"
"2025-01-13 14:00:00,404.2,367.3,10.87,18.12,96.6,8.683,1.042"
"2025-01-13 15:00:00,397.7,369.2,10.2,17.68,73.6,8.862,1.063"
"2025-01-13 16:00:00,394.9,367.0,9.92,16.48,69.7,6.391,0.767"
"2025-01-13 17:00:00,403.4,378.4,9.64,14.93,44.6,4.056,0.487"
"2025-01-13 18:00:00,409.0,390.0,9.37,14.5,29.3,2.949,0.354"
"2025-01-13 19:00:00,393.6,372.6,9.31,12.28,21.7,1.195,0.143"
"2025-01-13 20:00:00,402.5,388.4,7.58,10.57,12.0,0.706,0.085"
"2025-01-13 21:00:00,408.4,394.9,9.45,12.28,10.8,0.701,0.084"
"2025-01-13 22:00:00,400.8,385.4,6.95,9.84,16.3,0.772,0.093"
"2025-01-13 23:00:00,406.7,391.1,6.41,9.07,16.5,0.325,0.039"
"2025-01-14 00:00:00,390.9,372.5,6.38,8.62,22.5,0.504,0.06"
"2025-01-14 01:00:00,399.6,380.1,7.7,9.7,17.8,0.627,0.075"
"2025-01-14 02:00:00,396.7,382.4,8.51,11.79,11.7,1.217,0.146"
"2025-01-14 03:00:00,402.6,388.2,8.58,11.15,10.7,0.338,0.041"
"2025-01-14 04:00:00,390.6,377.9,8.79,11.47,6.5,0.716,0.086"
"2025-01-14 05:00:00,400.4,386.2,8.05,11.37,14.1,1.182,0.142"
"2025-01-14 06:00:00,396.8,379.7,7.79,12.3,39.8,2.458,0.295"
"2025-01-14 07:00:00,406.9,382.9,9.73,15.64,43.8,4.982,0.598"
"2025-01-14 08:00:00,409.2,386.7,10.77,16.58,60.7,5.989,0.719"
"2025-01-14 09:00:00,403.2,369.7,11.78,18.65,76.6,7.885,0.946"
